"";"var_ad_les";"var_ctrl";"ratio"
"MMP1";5,1;0,2;"25.5"
"MMP3";2,1;0,1;"21.0"
"IL36A";2,5;0,2;"12.5"
"EPGN";2,2;0,2;"11.0"
"MMP12";2,2;0,2;"11.0"
"LCE3A";2,1;0,2;"10.5"
"IGFL1";1,9;0,2;" 9.5"
"IGLV1-40";1,8;0,2;" 9.0"
"OLFM4";1,8;0,2;" 9.0"
"KRT6C";4,2;0,5;" 8.4"
"S100A7A";3,2;0,4;" 8.0"
"TCN1";2,8;0,4;" 7.0"
"S100A12";2,6;0,4;" 6.5"
"DEFB4A";4,9;0,9;" 5.4"
"IGKV1-6";2;0,4;" 5.0"
"RNU5A-8P";2,4;0,5;" 4.8"
"IGHJ6";4,6;1;" 4.6"
"COMP";1,7;0,4;" 4.2"
"LTF";2,9;0,8;" 3.6"
"IGKV1-17";2,1;0,6;" 3.5"
"IGHV3-30";2,4;0,7;" 3.4"
"IGHV3-15";2,3;0,7;" 3.3"
"IGHG4";3,5;1,2;" 2.9"
"IGHV3-33";3,2;1,1;" 2.9"
"IGHJ3";3,6;1,3;" 2.8"
"SPRR2B";2,2;0,8;" 2.8"
"IGHG2";2,9;1,1;" 2.6"
"IGLC7";2,1;0,8;" 2.6"
"PI3";2,6;1,1;" 2.4"
"IGLC2";2,9;1,4;" 2.1"
"KRT6A";1,9;0,9;" 2.1"
"CXCL10";2,8;1,4;" 2.0"
"IGKV2D-24";2;1;" 2.0"
"CXCL9";2,5;1,6;" 1.6"
"HEPHL1";1,7;1,1;" 1.5"
"HLA-DRB5";4,9;3,5;" 1.4"
"UPK1A";2,8;2,1;" 1.3"
"FA2H";1,9;1,6;" 1.2"
"HORMAD1";1,8;1,5;" 1.2"
"PRKY";3;2,4;" 1.2"
"AWAT1";4,4;3,9;" 1.1"
"DGAT2L6";7,2;6,8;" 1.1"
"LGALS7";1,7;1,6;" 1.1"
"TMPRSS11E";1,9;1,7;" 1.1"
"UTY";5,6;5,3;" 1.1"
"GSTT2";1,9;1,9;" 1.0"
"KDM5D";3,1;3,2;" 1.0"
"PM20D1";6,7;6,6;" 1.0"
"RPS4Y1";3,8;3,9;" 1.0"
"SEC14L6";4,7;4,8;" 1.0"
"SLC44A5";1,8;1,8;" 1.0"
"THRSP";5,9;6;" 1.0"
"USP9Y";3;3,1;" 1.0"
"XIST";11,6;11,4;" 1.0"
"AADACL3";6,1;6,5;" 0.9"
"AWAT2";5,3;5,7;" 0.9"
"GLDC";1,9;2,2;" 0.9"
"KRT79";2,5;2,9;" 0.9"
"MIR2117";2,6;2,9;" 0.9"
"PIP";2,9;3,4;" 0.9"
"PNLDC1";2,3;2,7;" 0.9"
"RP11-26L20.3";1,7;1,9;" 0.9"
"SLCO4C1";2,4;2,6;" 0.9"
"TTTY15";3,5;3,7;" 0.9"
"ADIPOQ";2;2,5;" 0.8"
"FAR2";1,9;2,3;" 0.8"
"GAL";3,2;4;" 0.8"
"SCGB1D2";1,8;2,2;" 0.8"
"ACOT1";2,6;4;" 0.7"
"ALOX15B";2,1;3;" 0.7"
"FABP9";3,9;5,4;" 0.7"
"KRT25";5,9;8,7;" 0.7"
"PRG4";2,4;3,3;" 0.7"
"RP11-789C1.1";2,1;2,9;" 0.7"
"SPRR4";2,1;2,9;" 0.7"
"KRT71";3,8;6,8;" 0.6"
"KRT86";2,5;4,5;" 0.6"
"KRTAP1-5";4,2;6,6;" 0.6"
"KRTAP16-1";2,4;4,1;" 0.6"
"KRTAP2-2";2,7;4,8;" 0.6"
"KRTAP4-12";5,4;8,5;" 0.6"
"KRTAP4-5";3,5;6,1;" 0.6"
"KRTAP4-8";5,3;8,4;" 0.6"
"KRTAP5-2";2,7;4,9;" 0.6"
"KRTAP5-3";2,1;3,6;" 0.6"
"KRTAP5-4";2;3,6;" 0.6"
"KRTAP5-8";2,8;4,4;" 0.6"
"TCHH";3,2;5,8;" 0.6"
"KRT27";2,1;3,9;" 0.5"
"KRTAP1-1";2,9;5,3;" 0.5"
"KRTAP1-3";1,7;3,4;" 0.5"
"KRTAP11-1";2,1;4;" 0.5"
"KRTAP2-4";2,1;4,3;" 0.5"
"KRTAP4-2";2,5;4,6;" 0.5"
"KRTAP4-3";1,8;3,8;" 0.5"
"KRTAP4-7";1,8;3,9;" 0.5"
"KRTAP9-4";2,4;4,6;" 0.5"
"KRTAP9-8";2,3;4,4;" 0.5"
"KRTAP4-4";1,7;3,8;" 0.4"
