"";"x"
"PM20D1";"6.7"
"AADACL3";"6.1"
"KRT25";"5.9"
"THRSP";"5.9"
"KRTAP4-12";"5.4"
"KRTAP4-8";"5.3"
"MMP1";"5.1"
"HLA-DRB5";"4.9"
"DEFB4A";"4.9"
"SEC14L6";"4.7"
"IGHJ6";"4.6"
"KRT6C";"4.2"
"KRTAP1-5";"4.2"
"FABP9";"3.9"
"KRT71";"3.8"
"IGHJ3";"3.6"
"KRTAP4-5";"3.5"
"TTTY15";"3.5"
"IGHG4";"3.5"
"GAL";"3.2"
"TCHH";"3.2"
"S100A7A";"3.2"
"IGHV3-33";"3.2"
"PIP";"2.9"
"KRTAP1-1";"2.9"
"LTF";"2.9"
"IGLC2";"2.9"
"IGHG2";"2.9"
"KRTAP5-8";"2.8"
"CXCL10";"2.8"
"UPK1A";"2.8"
"TCN1";"2.8"
"KRTAP2-2";"2.7"
"KRTAP5-2";"2.7"
"ACOT1";"2.6"
"S100A12";"2.6"
"PI3";"2.6"
"MIR2117";"2.6"
"CXCL9";"2.5"
"KRTAP4-2";"2.5"
"IL36A";"2.5"
"KRT79";"2.5"
"KRT86";"2.5"
"KRTAP9-4";"2.4"
"RNU5A-8P";"2.4"
"SLCO4C1";"2.4"
"KRTAP16-1";"2.4"
"IGHV3-30";"2.4"
"PRG4";"2.4"
"KRTAP9-8";"2.3"
"IGHV3-15";"2.3"
"PNLDC1";"2.3"
"MMP12";"2.2"
"EPGN";"2.2"
"SPRR2B";"2.2"
"SPRR4";"2.1"
"KRTAP5-3";"2.1"
"KRTAP11-1";"2.1"
"LCE3A";"2.1"
"IGLC7";"2.1"
"MMP3";"2.1"
"IGKV1-17";"2.1"
"KRT27";"2.1"
"KRTAP2-4";"2.1"
"RP11-789C1.1";"2.1"
"ALOX15B";"2.1"
"IGKV2D-24";"2.0"
"IGKV1-6";"2.0"
"ADIPOQ";"2.0"
"KRTAP5-4";"2.0"
"GLDC";"1.9"
"IGFL1";"1.9"
"FAR2";"1.9"
"KRT6A";"1.9"
"TMPRSS11E";"1.9"
"GSTT2";"1.9"
"FA2H";"1.9"
"SLC44A5";"1.8"
"KRTAP4-3";"1.8"
"IGLV1-40";"1.8"
"HORMAD1";"1.8"
"SCGB1D2";"1.8"
"KRTAP4-7";"1.8"
"OLFM4";"1.8"
"KRTAP1-3";"1.7"
"COMP";"1.7"
"KRTAP4-4";"1.7"
"RP11-26L20.3";"1.7"
"HEPHL1";"1.7"
"LGALS7";"1.7"
